,Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) ,W_min_sum,Total Comsumption
1958,2013-03-23 15:00:00,1.06088412159,0.0229644004175,0.0,0.0,0.0,0.0,0.0,0.0,0.0618512235796,0.0133243957819,0.299663707888,0.333400879742,0.335999914601,0.0,2.1280886436
1959,2013-03-23 16:00:00,1.10416656145,0.0242409278068,0.0,0.0,0.0,0.0,0.0,0.0,0.0713668007277,0.0153743034853,0.308214938409,0.351933710857,0.340632807975,0.0,2.2159300507108
1960,2013-03-23 17:00:00,1.30542055811,0.0286727690504,0.0,0.0,0.0,0.0,0.0,0.0,0.109429077454,0.0235739257181,0.354668497169,0.41627589888,0.384829158889,0.0,2.6228698852705
1961,2013-03-23 18:00:00,1.71128391734,0.181615922385,0.0,0.146783090394,0.0,0.00395340970417,0.00395340970417,0.00395340970417,0.218858154908,0.0471478685982,0.438965378865,0.505708689028,0.480006416242,0.0,3.7422296668727095
1962,2013-03-23 19:00:00,2.07594863676,0.0449131842091,0.0,0.0070952420164,0.0,0.000190822994169,0.000190822994169,0.000190822994169,0.423443003842,0.0912208713508,0.397476839177,0.549047001788,0.567926097609,0.0,4.157643345734807
1963,2013-03-23 20:00:00,2.25928303469,0.118143969278,0.0,0.079108416345,0.0,0.00212433382503,0.00212433382503,0.00212433382503,0.632785621435,0.136318823665,0.322310374418,0.566724471466,0.582375409882,0.0,4.70342312265409
1964,2013-03-23 21:00:00,2.25316869014,0.307028326156,0.0,0.266650782891,0.0,0.00712831124555,0.00712831124555,0.00712831124555,0.680363467342,0.146568353601,0.2859788881,0.586207704176,0.53027796568,0.0,5.077629111822649
1965,2013-03-23 22:00:00,2.03579247638,0.64605557256,0.0,0.606620695674,0.0,0.0160900882679,0.0160900882679,0.0160900882679,0.570934389888,0.122994427883,0.269710329714,0.572521921199,0.46689731943,0.0,5.3397973975317
1966,2013-03-23 23:00:00,1.6455584351,1.12972970151,0.0,1.0956038693,0.0,0.0288167714173,0.0288167714173,0.0288167714173,0.4282007725,0.092245820912,0.217943329922,0.495444351795,0.366263388556,0.0,5.557439983846901
1967,2013-03-24 00:00:00,1.26030900067,1.69502392272,0.0,1.66536920952,0.0,0.0434923511539,0.0434923511539,0.0434923511539,0.29974054075,0.064572079787,0.147779360955,0.430531922814,0.257548745211,0.0,5.951351835888701
1968,2013-03-24 01:00:00,0.858056006908,2.34159890687,0.0,2.31706994211,0.0,0.0601566041942,0.0601566041942,0.0601566041942,0.152249154704,0.0327985060931,0.0982793958339,0.356115477877,0.141812868206,0.0,6.478450071184599
1969,2013-03-24 02:00:00,0.704040747247,2.98518725911,0.0,2.96260254376,0.0,0.0765575379813,0.0765575379813,0.0765575379813,0.0903979231577,0.0194741103112,0.0838690425574,0.327888550488,0.0892095827514,0.0,7.4923423733266
1970,2013-03-24 03:00:00,0.648318175583,3.36342152692,0.0,3.34109866334,0.0,0.0858158378488,0.0858158378488,0.0858158378488,0.0618512235796,0.0133243957819,0.0715840655737,0.324086944105,0.0750117086937,0.0,8.1561442171233
1971,2013-03-24 04:00:00,0.650513592706,3.77177090134,0.0,3.74976225989,0.0,0.0959605634297,0.0959605634297,0.0959605634297,0.0618512235796,0.0133243957819,0.064112104549,0.319525016446,0.0790962889196,0.0,8.997837473501198
1972,2013-03-24 05:00:00,0.700008775076,4.17511942455,0.0,4.15394216247,0.0,0.105979676813,0.105979676813,0.105979676813,0.0618512235796,0.0133243957819,0.0739521572983,0.307454916182,0.120802405421,0.0,9.9243944907978
1973,2013-03-24 06:00:00,0.930820923272,3.96859618883,0.0,3.94496406639,0.0,0.100008339538,0.100008339538,0.100008339538,0.0666090081704,0.0143493487755,0.0862682554934,0.343094976018,0.303846995278,0.0,9.9585747808413
1974,2013-03-24 07:00:00,1.42352429107,3.94424695427,0.0,3.91694236073,0.0,0.0993893336645,0.0993893336645,0.0993893336645,0.104671308796,0.0225489761569,0.138447814423,0.396412505532,0.645410352496,0.0,10.890372564467402
